ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness,liga
135507, Fernandinho,35,https://cdn.sofifa.com/players/135/507/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,84,84,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€9.5M,€110K,2192,Right,3.0,4.0,3.0,Medium/ High,Lean (170-185),Yes,"<span class=""pos pos4"">RCB",25.0,"Jul 1, 2013",,2021,5'10,148lbs,68.0,66.0,71.0,86.0,73.0,76.0,70.0,72.0,81.0,82.0,67.0,62.0,69.0,88.0,77.0,83.0,84.0,78.0,76.0,78.0,87.0,89.0,70.0,73.0,61.0,81.0,,86.0,83.0,12.0,11.0,5.0,13.0,7.0,CB,84.0,€17.6M,88.0,Premier league
211117, D. Alli,24,https://cdn.sofifa.com/players/211/117/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,83,87,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€34M,€105K,2190,Right,3.0,3.0,4.0,High/ High,PLAYER_BODY_TYPE_367,Yes,"<span class=""pos pos28"">SUB",20.0,"Feb 2, 2015",,2024,6'2,176lbs,68.0,82.0,81.0,83.0,79.0,84.0,75.0,68.0,81.0,85.0,68.0,76.0,75.0,84.0,68.0,78.0,71.0,89.0,73.0,79.0,81.0,72.0,86.0,84.0,76.0,87.0,,70.0,63.0,7.0,6.0,9.0,11.0,8.0,CAM,86.0,€67.2M,70.0,Premier league
188377, K. Walker,30,https://cdn.sofifa.com/players/188/377/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,85,85,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€30.5M,€170K,2188,Right,3.0,2.0,3.0,High/ High,PLAYER_BODY_TYPE_317,Yes,"<span class=""pos pos3"">RB",2.0,"Jul 14, 2017",,2024,6'0,154lbs,81.0,51.0,74.0,78.0,57.0,79.0,76.0,71.0,76.0,79.0,90.0,94.0,66.0,84.0,69.0,86.0,83.0,89.0,79.0,69.0,78.0,80.0,68.0,69.0,63.0,75.0,,83.0,82.0,12.0,6.0,16.0,15.0,8.0,RB,85.0,€56.4M,77.0,Premier league
189509, Thiago,29,https://cdn.sofifa.com/players/189/509/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,85,85,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€37M,€150K,2179,Right,3.0,3.0,5.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",6.0,"Sep 18, 2020",,2024,5'9,154lbs,78.0,68.0,54.0,89.0,84.0,90.0,85.0,77.0,89.0,91.0,74.0,55.0,91.0,85.0,90.0,75.0,75.0,73.0,59.0,73.0,54.0,83.0,75.0,85.0,75.0,86.0,,71.0,68.0,6.0,11.0,7.0,9.0,13.0,CM,85.0,€68.5M,67.0,Premier league
192638, Marcos Alonso,29,https://cdn.sofifa.com/players/192/638/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,81,81,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,€14.5M,€96K,2172,Left,2.0,3.0,3.0,High/ Low,Lean (185+),Yes,"<span class=""pos pos7"">LB",3.0,"Aug 31, 2016",,2023,6'2,187lbs,83.0,71.0,83.0,83.0,76.0,78.0,85.0,86.0,71.0,83.0,67.0,63.0,64.0,82.0,57.0,84.0,73.0,91.0,76.0,77.0,75.0,74.0,77.0,67.0,64.0,75.0,,81.0,78.0,9.0,7.0,13.0,9.0,12.0,LB,81.0,€27.6M,73.0,Premier league
226226, G. Lo Celso,24,https://cdn.sofifa.com/players/226/226/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,82,87,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€29M,€95K,2172,Left,1.0,3.0,4.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos18"">CAM",18.0,"Jul 27, 2020",,2025,5'10,150lbs,78.0,76.0,57.0,83.0,69.0,85.0,82.0,77.0,83.0,86.0,76.0,77.0,83.0,82.0,80.0,82.0,61.0,78.0,70.0,78.0,78.0,70.0,79.0,85.0,65.0,81.0,,70.0,66.0,10.0,7.0,10.0,15.0,14.0,CAM,84.0,€57.3M,60.0,Premier league
202126, H. Kane,26,https://cdn.sofifa.com/players/202/126/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,88,89,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€71M,€220K,2172,Right,3.0,4.0,3.0,High/ High,PLAYER_BODY_TYPE_368,Yes,"<span class=""pos pos25"">ST",10.0,"Jul 1, 2010",,2024,6'2,196lbs,75.0,94.0,85.0,81.0,85.0,80.0,80.0,68.0,83.0,84.0,66.0,69.0,69.0,90.0,73.0,91.0,79.0,84.0,84.0,86.0,81.0,35.0,93.0,83.0,90.0,91.0,,36.0,38.0,8.0,10.0,11.0,14.0,11.0,ST,88.0,€140.2M,56.0,Premier league
210514, João Cancelo,26,https://cdn.sofifa.com/players/210/514/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,83,86,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€28M,€140K,2172,Right,2.0,3.0,4.0,High/ Medium,PLAYER_BODY_TYPE_318,Yes,"<span class=""pos pos28"">SUB",27.0,"Aug 7, 2019",,2025,6'0,163lbs,83.0,58.0,68.0,81.0,62.0,85.0,82.0,69.0,75.0,84.0,87.0,85.0,78.0,81.0,78.0,80.0,72.0,89.0,60.0,68.0,73.0,76.0,78.0,78.0,46.0,82.0,,80.0,80.0,6.0,9.0,15.0,14.0,14.0,RWB,84.0,€53.9M,78.0,Premier league
209499, Fabinho,26,https://cdn.sofifa.com/players/209/499/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,87,89,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€54.5M,€155K,2171,Right,3.0,2.0,3.0,Medium/ High,PLAYER_BODY_TYPE_311,Yes,"<span class=""pos pos10"">CDM",3.0,"Jul 1, 2018",,2023,6'2,172lbs,75.0,63.0,75.0,85.0,47.0,76.0,71.0,53.0,83.0,82.0,66.0,68.0,66.0,84.0,65.0,81.0,75.0,88.0,81.0,70.0,86.0,87.0,70.0,79.0,90.0,84.0,,87.0,85.0,13.0,12.0,6.0,8.0,8.0,CDM,87.0,€104.9M,86.0,Premier league
221363, D. van de Beek,23,https://cdn.sofifa.com/players/221/363/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,83,87,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€33M,€125K,2171,Right,3.0,3.0,3.0,High/ Medium,PLAYER_BODY_TYPE_251,Yes,"<span class=""pos pos28"">SUB",34.0,"Sep 2, 2020",,2025,6'0,163lbs,67.0,79.0,69.0,82.0,80.0,76.0,78.0,65.0,79.0,85.0,67.0,73.0,72.0,85.0,70.0,83.0,71.0,92.0,76.0,80.0,75.0,73.0,84.0,82.0,63.0,85.0,,74.0,68.0,7.0,12.0,8.0,10.0,14.0,CM,85.0,€65.2M,72.0,Premier league
215914, N. Kanté,29,https://cdn.sofifa.com/players/215/914/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,88,88,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,€51M,€190K,2169,Right,3.0,3.0,2.0,Medium/ High,PLAYER_BODY_TYPE_283,Yes,"<span class=""pos pos9"">RDM",7.0,"Jul 16, 2016",,2023,5'6,154lbs,68.0,65.0,54.0,85.0,56.0,79.0,49.0,49.0,79.0,80.0,79.0,76.0,82.0,91.0,92.0,71.0,77.0,96.0,72.0,65.0,90.0,91.0,72.0,79.0,54.0,85.0,,90.0,85.0,15.0,12.0,10.0,7.0,10.0,CDM,88.0,€96.9M,89.0,Premier league
138412, J. Milner,34,https://cdn.sofifa.com/players/138/412/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,80,80,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€7M,€94K,2167,Right,2.0,4.0,3.0,High/ High,Stocky (170-185),Yes,"<span class=""pos pos28"">SUB",7.0,"Jul 1, 2015",,2022,5'9,154lbs,86.0,62.0,66.0,84.0,76.0,77.0,81.0,75.0,81.0,80.0,62.0,54.0,70.0,84.0,73.0,82.0,62.0,87.0,70.0,70.0,85.0,79.0,72.0,79.0,89.0,86.0,,80.0,79.0,12.0,9.0,10.0,8.0,6.0,CDM,81.0,€13M,77.0,Premier league
186942, I. Gündoğan,29,https://cdn.sofifa.com/players/186/942/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,83,83,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€25M,€160K,2158,Right,3.0,4.0,4.0,High/ Medium,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",8.0,"Jul 1, 2016",,2023,5'11,176lbs,78.0,71.0,50.0,88.0,75.0,84.0,85.0,74.0,85.0,88.0,66.0,66.0,77.0,85.0,77.0,77.0,61.0,69.0,73.0,74.0,70.0,77.0,78.0,86.0,80.0,87.0,,74.0,67.0,11.0,14.0,5.0,5.0,13.0,CM,83.0,€46.3M,75.0,Premier league
231677, M. Rashford,22,https://cdn.sofifa.com/players/231/677/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,85,91,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,€53M,€150K,2149,Right,2.0,4.0,5.0,High/ Medium,PLAYER_BODY_TYPE_327,Yes,"<span class=""pos pos16"">LM",10.0,"Jul 1, 2014",,2023,6'1,154lbs,77.0,83.0,68.0,81.0,73.0,87.0,82.0,76.0,69.0,85.0,89.0,93.0,86.0,86.0,75.0,90.0,72.0,87.0,76.0,81.0,73.0,42.0,82.0,82.0,81.0,82.0,,40.0,33.0,11.0,6.0,15.0,7.0,14.0,RM,86.0,€111.3M,47.0,Premier league
227813, O. Zinchenko,23,https://cdn.sofifa.com/players/227/813/20_60.png,Ukraine,https://cdn.sofifa.com/flags/ua.png,80,85,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€17.5M,€96K,2144,Left,1.0,3.0,3.0,High/ Medium,Lean (170-185),Yes,"<span class=""pos pos28"">SUB",11.0,"Jul 4, 2016",,2024,5'9,141lbs,82.0,59.0,70.0,83.0,61.0,79.0,80.0,74.0,78.0,82.0,75.0,72.0,78.0,78.0,78.0,77.0,72.0,76.0,63.0,71.0,73.0,77.0,75.0,79.0,59.0,76.0,,79.0,75.0,15.0,11.0,13.0,11.0,11.0,CM,81.0,€33.7M,78.0,Premier league
207410, M. Kovačić,26,https://cdn.sofifa.com/players/207/410/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,83,86,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,€31.5M,€120K,2135,Right,3.0,4.0,4.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",17.0,"Jul 1, 2019",,2024,5'9,176lbs,73.0,61.0,42.0,90.0,76.0,88.0,79.0,70.0,82.0,89.0,78.0,73.0,87.0,82.0,84.0,79.0,76.0,79.0,63.0,75.0,77.0,74.0,72.0,84.0,59.0,81.0,,73.0,66.0,9.0,5.0,6.0,7.0,7.0,CM,86.0,€62.2M,70.0,Premier league
183394, M. Sissoko,30,https://cdn.sofifa.com/players/183/394/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,79,79,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€11.5M,€89K,2130,Right,2.0,3.0,3.0,High/ High,PLAYER_BODY_TYPE_361,Yes,"<span class=""pos pos28"">SUB",17.0,"Aug 31, 2016",,2023,6'2,201lbs,72.0,54.0,68.0,82.0,64.0,83.0,75.0,60.0,80.0,80.0,69.0,84.0,64.0,78.0,58.0,85.0,77.0,91.0,90.0,61.0,85.0,77.0,74.0,74.0,60.0,75.0,,81.0,77.0,14.0,8.0,11.0,10.0,8.0,CDM,80.0,€21.9M,76.0,Premier league
200104, H. Son,27,https://cdn.sofifa.com/players/200/104/20_60.png,Korea Republic,https://cdn.sofifa.com/flags/kr.png,87,87,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€52.5M,€165K,2128,Right,3.0,5.0,4.0,High/ High,PLAYER_BODY_TYPE_366,Yes,"<span class=""pos pos16"">LM",7.0,"Aug 28, 2015",,2023,6'0,172lbs,81.0,86.0,68.0,83.0,81.0,88.0,85.0,70.0,70.0,87.0,86.0,90.0,86.0,89.0,78.0,88.0,56.0,87.0,64.0,90.0,62.0,39.0,88.0,83.0,73.0,88.0,,34.0,33.0,11.0,13.0,13.0,6.0,10.0,LM,87.0,€99.8M,50.0,Premier league
216267, A. Robertson,26,https://cdn.sofifa.com/players/216/267/20_60.png,Scotland,https://cdn.sofifa.com/flags/gb-sct.png,87,89,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€53M,€155K,2127,Left,3.0,2.0,3.0,High/ High,PLAYER_BODY_TYPE_310,Yes,"<span class=""pos pos7"">LB",26.0,"Jul 21, 2017",,2024,5'10,141lbs,90.0,57.0,67.0,82.0,32.0,80.0,82.0,38.0,76.0,82.0,79.0,85.0,78.0,84.0,74.0,78.0,62.0,95.0,65.0,65.0,85.0,82.0,77.0,79.0,55.0,83.0,,84.0,81.0,11.0,8.0,10.0,7.0,14.0,LB,87.0,€102M,83.0,Premier league
218667, Bernardo Silva,25,https://cdn.sofifa.com/players/218/667/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,87,88,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€60M,€230K,2124,Left,2.0,3.0,4.0,High/ High,Lean (170-185),Yes,"<span class=""pos pos15"">LCM",20.0,"Jul 1, 2017",,2025,5'8,141lbs,85.0,79.0,51.0,86.0,70.0,92.0,84.0,67.0,76.0,92.0,85.0,78.0,94.0,85.0,92.0,76.0,51.0,93.0,54.0,76.0,69.0,49.0,85.0,85.0,68.0,87.0,,59.0,40.0,9.0,10.0,14.0,12.0,9.0,RW,87.0,€115.5M,49.0,Premier league
198784, A. Oxlade-Chamberlain,26,https://cdn.sofifa.com/players/198/784/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,79,80,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€14.5M,€89K,2118,Right,2.0,4.0,4.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",15.0,"Aug 31, 2017",,2023,5'9,154lbs,78.0,70.0,39.0,80.0,60.0,84.0,73.0,60.0,75.0,84.0,78.0,79.0,79.0,78.0,87.0,83.0,69.0,78.0,70.0,78.0,77.0,73.0,79.0,81.0,69.0,77.0,,72.0,68.0,16.0,9.0,6.0,9.0,9.0,CAM,81.0,€27.9M,68.0,Premier league
153079, S. Agüero,32,https://cdn.sofifa.com/players/153/079/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,89,89,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€53M,€300K,2118,Right,4.0,4.0,4.0,High/ Medium,PLAYER_BODY_TYPE_322,Yes,"<span class=""pos pos28"">SUB",10.0,"Jul 28, 2011",,2021,5'8,154lbs,70.0,94.0,78.0,83.0,86.0,88.0,83.0,73.0,64.0,89.0,79.0,78.0,84.0,92.0,91.0,89.0,78.0,78.0,74.0,84.0,65.0,24.0,94.0,83.0,75.0,91.0,,29.0,24.0,13.0,15.0,6.0,11.0,14.0,ST,89.0,€98.1M,30.0,Premier league
170368, E. Lamela,28,https://cdn.sofifa.com/players/170/368/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,80,80,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/light_30.png,€15M,€98K,2115,Left,2.0,2.0,4.0,High/ High,Lean (170-185),Yes,"<span class=""pos pos28"">SUB",11.0,"Aug 30, 2013",,2022,6'0,176lbs,78.0,76.0,67.0,81.0,77.0,85.0,84.0,81.0,76.0,83.0,74.0,75.0,77.0,78.0,78.0,81.0,56.0,67.0,68.0,80.0,87.0,53.0,79.0,81.0,75.0,79.0,,55.0,54.0,10.0,15.0,11.0,8.0,13.0,RM,80.0,€28.5M,52.0,Premier league
203376, V. van Dijk,28,https://cdn.sofifa.com/players/203/376/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,90,91,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,€75.5M,€210K,2112,Right,3.0,3.0,2.0,Medium/ Medium,PLAYER_BODY_TYPE_314,Yes,"<span class=""pos pos6"">LCB",4.0,"Jan 1, 2018",,2023,6'4,203lbs,53.0,52.0,87.0,79.0,45.0,70.0,60.0,70.0,86.0,77.0,72.0,79.0,61.0,89.0,53.0,81.0,90.0,75.0,92.0,64.0,83.0,90.0,47.0,65.0,62.0,90.0,,93.0,86.0,13.0,10.0,13.0,11.0,11.0,CB,90.0,€145.3M,93.0,Premier league
205498, Jorginho,28,https://cdn.sofifa.com/players/205/498/20_60.png,Italy,https://cdn.sofifa.com/flags/it.png,83,83,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,€25.5M,€125K,2111,Right,2.0,3.0,3.0,Medium/ Medium,Lean (170-185),Yes,"<span class=""pos pos11"">LDM",5.0,"Jul 16, 2018",,2023,5'11,150lbs,75.0,60.0,56.0,89.0,71.0,79.0,75.0,76.0,88.0,85.0,61.0,50.0,77.0,81.0,72.0,71.0,58.0,85.0,66.0,62.0,79.0,78.0,68.0,87.0,91.0,81.0,,80.0,71.0,14.0,7.0,13.0,14.0,8.0,CM,83.0,€48.5M,64.0,Premier league
202652, R. Sterling,25,https://cdn.sofifa.com/players/202/652/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,88,90,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€72.5M,€270K,2111,Right,3.0,3.0,4.0,High/ Medium,PLAYER_BODY_TYPE_320,Yes,"<span class=""pos pos27"">LW",7.0,"Jul 14, 2015",,2023,5'7,152lbs,78.0,85.0,46.0,84.0,67.0,90.0,77.0,63.0,69.0,88.0,96.0,90.0,94.0,90.0,94.0,78.0,57.0,79.0,65.0,79.0,59.0,30.0,92.0,82.0,69.0,80.0,,53.0,47.0,15.0,12.0,12.0,15.0,9.0,LW,88.0,€139.6M,47.0,Premier league
12265, 12 O. Hargreaves,30,https://cdn.sofifa.com/players/012/265/12_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,78,78,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,€3M,€30K,2106,Right,3.0,4.0,2.0,Medium/ High,Normal (170-185),Yes,"<span class=""pos pos29"">RES",20.0,"Jan 1, 2011",,2012,5'11,161lbs,76.0,49.0,66.0,77.0,59.0,72.0,75.0,82.0,77.0,81.0,76.0,78.0,63.0,82.0,70.0,73.0,69.0,68.0,73.0,76.0,72.0,83.0,71.0,77.0,72.0,,74.0,78.0,75.0,14.0,9.0,12.0,15.0,12.0,CDM,77.0,,,Premier league
